bill_id,title,description
1849676,Peace officers: Peace Officer Standards Accountability Advisory Board.,"An act to amend Section 13509.6 of the Penal Code, relating to peace officers."
1849687,Pupil instruction: nonclassroom-based instruction and independent study: workgroup.,"An act to add Section 47634.3 to the Education Code, relating to pupil instruction."
1849699,Educational equity: Uniform Complaint Procedures: Office of Civil Rights.,"An act to amend Section 33315 of, and to add Article 5.8 (commencing with Section 234.8) to Chapter 2 of Part 1 of Division 1 of Title 1 of, the Education Code, relating to educational equity."
1849700,Disclosures: Travel DISCLOSE Act.,"An act to amend Section 89506 of the Government Code, relating to the Political Reform Act of 1974."
1849702,Hotel and private residence rental reservations: cancellation: refunds.,"An act to amend, repeal, and add Sections 1748.80 and 1748.81 of the Civil Code, relating to business."
1849704,Waste reduction: undiverted materials.,"An act to amend Sections 40059 and 42649.81 of the Public Resources Code, relating to waste reduction."
1849708,Factual innocence.,"An act to amend Sections 851.86, 1485.55, and 13102 of, and to add Sections 11105.55 and 13151.5 to, the Penal Code, relating to crimes."
1849709,San José State University: fire building protection standards.,"An act to add Section 90003 to the Education Code, relating to the California State University, and declaring the urgency thereof, to take effect immediately."
1849712,Unemployment insurance: benefit and contribution changes.,"An act to amend Sections 930, 1275, 1279, and 3001 of, to add Section 976.7 to, to add Article 7 (commencing with Section 1612) to Chapter 6 of Part 1 of Division 1 of, and to repeal and add Section 1280 of, the Unemployment Insurance Code, relating to unemployment insurance, and making an appropriation therefor."
1849713,Books and other school materials: obscene matter.,"An act to add Section 18112 to the Education Code, relating to school materials."
1849714,California Tax Policy Oversight Board.,"An act to amend, repeal, and add Section 12803.2 of, and to add and repeal Part 8.6 (commencing with Section 15565) of Division 3 of Title 2 of, the Government Code, relating to state government."
1849715,Department of Corrections and Rehabilitation.,"An act to amend Section 5002 of the Penal Code, relating to crimes."
1849716,Housing First: sober housing.,"An act to amend Section 8255 of the Welfare and Institutions Code, relating to homelessness."
1849722,Let Parents Choose Protection Act of 2024.,"An act to add Chapter 22.2.8 (commencing with Section 22588.5) to Division 8 of the Business and Professions Code, relating to privacy."
1849735,Chain employer: displacement notice.,An act relating to employment.
1849740,Subdivisions: disbursements of deposits.,"An act to add Section 11013.7 to the Business and Professions Code, and to amend Section 1675 of the Civil Code, relating to subdivisions."
1849744,Small business: commercial financing transactions: monitoring fees.,"An act to amend Section 1799.302 of the Civil Code, relating to small business."
1849745,California Water District Law.,"An act to amend Section 35571 of the Water Code, relating to water."
1849747,Corporation Tax Law: credits.,An act relating to taxation.
1849748,Construction defect cases.,"An act to amend Sections 895, 896, 897, 916, 921, 926, 927, 933, 934, and 945.5 of the Civil Code, relating to construction defects."
1849750,Firearms: California Do Not Sell List.,"An act to add Chapter 6 (commencing with Section 30180) to Division 9 of Title 4 of Part 6 of the Penal Code, relating to firearms."
1849752,Public utilities: intervenor compensation.,"An act to amend Section 1804 of the Public Utilities Code, relating to public utilities."
1849753,Food safety: hamburger and imitation hamburger.,"An act to amend Section 111205 of the Health and Safety Code, relating to food safety."
1849757,California Agritourism Promotion Act: agritourism civil liability.,"An act to add Title 23 (commencing with Section 3273.70) to Part 4 of Division 3 of the Civil Code, relating to agriculture."
1849758,Low-Income Oversight Board: membership and duties.,"An act to amend Section 382.1 of, and to add Section 382.2 to, the Public Utilities Code, relating to the Low-Income Oversight Board."
1849761,Cal Grant Program.,"An act to amend Section 69431 of the Education Code, relating to student financial aid."
1849763,Consumer complaints.,"An act to amend Section 326 of the Business and Professions Code, relating to consumer complaints."
1849764,Accessibility: internet websites.,"An act to amend the heading of Part 2.53 (commencing with Section 55.55) of Division 1 of, and to add Sections 55.565 and 55.566 to, the Civil Code, and to amend Section 2 of Chapter 842 of the Statutes of 2023, relating to accessibility."
1849770,Medi-Cal reimbursement rates: private duty nursing.,"An act to amend Section 14105.200 of, and to add Section 14105.205 to, the Welfare and Institutions Code, relating to Medi-Cal."
1849772,Local agencies: Sales and Use Tax: retailers.,"An act to amend Section 53084.5 of the Government Code, relating to local government."
1849774,Employment.,"An act to amend Section 153 of the Labor Code, relating to employment."
1849775,Polluters Pay Climate Cost Recovery Act of 2024.,"An act to add Part 4.8 (commencing with Section 71370) to Division 34 of the Public Resources Code, relating to climate change, and declaring the urgency thereof, to take effect immediately."
1849781,Cannabis: workers and license requirements.,"An act to amend Section 26051.5 of, and to add Sections 26051.5 and 26053.5 to, the Business and Professions Code, and to add Sections 203.3 and 2775.5 to the Labor Code, relating to cannabis, and declaring the urgency thereof, to take effect immediately."
1849783,Aircraft registration.,"An act to add Article 11 (commencing with Section 5400) to Chapter 1 of Division 3 of the Vehicle Code, relating to aircrafts, and making an appropriation therefor."
1849784,Housing Crisis Act of 2019.,"An act to amend Section 66300.5 of the Government Code, relating to land use."
1849785,Methane emissions: Oil and Gas Methane Partnership 2.0 framework.,An act relating to greenhouse gases.
1849788,Permitting: electric vehicle charging.,An act relating to transportation electrification.
1857674,Insurance.,An act relating to insurance.
1761506,Relative to a day of remembrance for the Institute for Sexual Research.,Relative to a day of remembrance for the Institute for Sexual Research.
1777083,Relative to Sudden Cardiac Arrest Awareness Month.,Relative to Sudden Cardiac Arrest Awareness Month.
1796705,Relative to National Human Trafficking Awareness Month.,Relative to National Human Trafficking Awareness Month.
1821738,Relative to the Joint Sunset Review Committee.,Relative to the Joint Sunset Review Committee.
1876685,Relative to National County Government Month.,Relative to National County Government Month.
1883944,Relative to Italian American Heritage Month.,Relative to Italian American Heritage Month.
1883999,Relative to California-Mexico Advocacy Day.,Relative to California-Mexico Advocacy Day.
1885659,Relative to Intellectual Property Awareness Month.,Relative to Intellectual Property Awareness Month.
1885660,Relative to Korean American Senior Day.,Relative to Korean American Senior Day.
1885661,Relative to California Pickleball Day.,Relative to California Pickleball Day.
1885662,Relative to Gold Star Mothers’ and Families’ Day.,Relative to Gold Star Mothers’ and Families’ Day.
1885663,Relative to Port Chicago 80th Anniversary.,Relative to Port Chicago 80th Anniversary.
1885668,Relative to California Life Sciences Month.,Relative to California Life Sciences Month.
1885669,Relative to universal school meals.,Relative to universal school meals.
1885670,Relative to Latina Equal Pay Day.,Relative to Latina Equal Pay Day.
1885707,Relative to President Joseph Biden.,Relative to President Joseph Biden.
1885708,Relative to food and agriculture.,Relative to food and agriculture.
1885717,Relative to Taiwan.,Relative to Taiwan.
1885718,Relative to the East Bay Regional Park District’s 90th anniversary. .,Relative to the East Bay Regional Park District’s 90th anniversary. .
1649743,Joseph Tavaglione Memorial Interchange.,Relative to the Joseph Tavaglione Memorial Interchange.
1748382,Ageism Awareness Week.,Relative to Ageism Awareness Week.
1756157,Dalit History Month.,Relative to Dalit History Month.
1772291,Childhood Cancer Awareness Month.,Relative to Childhood Cancer Awareness Month.
1776222,Father-Daughter Day.,Relative to Father-Daughter Day.
1777369,President Joseph Biden’s goal of ending hunger and increasing healthy eating and physical activity.,Relative to public health.
1824499,Veterans of the Republic of Vietnam Armed Forces Day.,Relative to veterans.
1872655,Equity impact analysis of legislation.,Relative to equity.
1882085,Tachi Highway.,Relative to Tachi Highway.
1882345,The First Continental Congress.,Relative to the First Continental Congress.
1882792,Local agency formation commissions.,Relative to local agency formation commissions.
1883650,Surf City Highway.,Relative to the Surf City Highway.
1883996,Islamophobia: anti-Palestinian hate.,Relative to Islamophobia and anti-Palestinian hate.
1883998,Women’s Equality Day.,Relative to Women’s Equality Day.
1885657,Willie Mays Highway.,Relative to the Willie Mays Highway.
1885667,National Domestic Violence Awareness Month.,Relative to National Domestic Violence Awareness Month.
1776432,"Washington, D.C. statehood.","Relative to Washington, D.C. statehood."
1776967,The blockade of the Republic of Artsakh.,Relative to the blockade of the Republic of Artsakh.
1846306,Armenian hostages.,Relative to Armenian hostages.
1712206,Elections: voter qualifications.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by amending Section 2 of Article II thereof, relating to elections."
1714833,Elections: initiatives and referenda.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by amending Sections 9 and 10 of, and adding Section 7.5 to, Article II thereof, and by amending Section 8 of Article IV thereof, relating to elections."
1728400,Property taxation: principal residence and family home transfers.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by amending Section 2.1 of Article XIII A thereof, relating to taxation."
1760518,Employment: workers’ rights.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by adding Section 1.5 to Article XIV thereof, relating to employment."
1777762,University of California: basic state labor standards.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by adding subdivision (h) to Section 9 of Article IX thereof, relating to the University of California."
1848613,Educational expenses: education flex accounts and special education flex accounts.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by adding Section 8.5 to Article IX thereof, and by adding Section 8.1 to Article XVI thereof, relating to educational expenses."
1869186,Right to food.,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by adding Section 33 to Article I thereof, relating to the right to food."
1636388,Recycling: solar photovoltaic modules.,"An act to amend Sections 42463, 42464, 42464.2, 42476, and 42479 of, and to add Chapter 8.7 (commencing with Section 42499.6) to Part 3 of Division 30 of, the Public Resources Code, relating to recycling, and making an appropriation therefor."
1636410,Covered California: expansion.,"An act to repeal and add Section 100522 of the Government Code, relating to health care."
1636429,Transportation planning: regional transportation plans: reduction of greenhouse gas emissions.,"An act to amend Section 65080 of the Government Code, relating to transportation."
1636430,Transportation: planning: project selection processes.,"An act to amend Section 65072 of, and to add Section 13985 to, the Government Code, relating to transportation."
1636431,Ticket sellers.,"An act to repeal and add Chapter 21 (commencing with Section 22500) of Division 8 of the Business and Professions Code, relating to sales."
1636387,Pupil health: opioid antagonists.,"An act to amend Section 49414.3 of the Education Code, relating to pupil health."
1636394,Student financial aid: Middle Class Scholarship Program.,"An act to amend Section 70022 of the Education Code, relating to student financial aid."
1636408,Light pollution control.,"An act to add Chapter 12 (commencing with Section 11900) to Part 1 of Division 3 of Title 2 of the Government Code, relating to state government."
1636416,Coastal resources: coastal development permits: blue carbon demonstration projects.,"An act to add Sections 30100.3 and 30237 to the Public Resources Code, relating to coastal resources."
1636417,Personal income taxes: exclusion: Military Services Retirement and Surviving Spouse Benefit Payment Act.,"An act to add and repeal Sections 17132.9 and 17132.10 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1636423,Early childcare and education.,"An act to amend Sections 8240 and 46120 of, to add Sections 8202.8 and 8222 to, and to add and repeal Section 8202.7 of, the Education Code, and to amend Sections 10219 and 10280 of the Welfare and Institutions Code, relating to early childcare and education."
1636424,Income tax credit: sales and use taxes paid: manufacturing equipment: research and development equipment.,"An act to add and repeal Sections 17053.90 and 23623 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1637227,Homeless Courts Pilot Program.,"An act to add and repeal Chapter 5.5 (commencing with Section 5475) of Part 1 of Division 5 of the Welfare and Institutions Code, relating to the courts."
1638406,Pupil instruction: bleeding control.,"An act to add Sections 33546.5 and 51225.61 to the Education Code, relating to pupil instruction."
1638549,Vehicles: required stops: bicycles.,"An act to amend, repeal, and add Sections 21800 and 22450 of the Vehicle Code, relating to vehicles."
1638685,Money laundering: blockchain technology.,"An act to amend Sections 186.9 and 186.10 of the Penal Code, relating to crimes."
1639064,Coastal resources: ocean research: West Coast Offshore Wind Science Entity.,"An act to add Section 35623 to the Public Resources Code, relating to coastal resources."
1639065,Indian children: child custody proceedings.,"An act to amend Sections 224, 224.1, 224.2, 224.3, 224.4, 224.5, 224.6, 306, 306.6, 315, 317, 319, 361, 361.2, 361.3, 361.31, 361.4, 366.21, 366.26, 706.6, 727, 727.1, 727.4, 10553.12, 10553.13, 11391, 11401, 11461.36, 11462.022, 16500.9, 16501.1, 16504.6, and 16507.5 of, and to add Section 224.7 to, the Welfare and Institutions Code, relating to Indian children, and declaring the urgency thereof, to take effect immediately."
1639066,Dietary supplements for weight loss and over-the-counter diet pills.,"An act to add Section 110423.7 to the Health and Safety Code, relating to public health."
1643403,Homelessness: Statewide Homelessness Coordinator.,"An act to add Chapter 1.3 (commencing with Section 12095) to Part 2 of Division 3 of Title 2 of the Government Code, relating to homelessness."
1643406,Parole hearings: attorney notice.,"An act to add Section 3043.4 to the Penal Code, relating to parole."
1644449,Family PACT Program: contraceptive device coverage.,"An act to add Section 14132.08 to the Welfare and Institutions Code, relating to health care coverage."
1649738,Agriculture: cotton pests abatement districts: organization and establishment: authorized counties.,"An act to amend Section 6051 of the Food and Agricultural Code, relating to agriculture."
1649739,Department of Transportation: state roads and highways: integrated pest management.,"An act to add Article 16.8 (commencing with Section 13178) to Chapter 2 of Division 7 of the Food and Agricultural Code, relating to pesticides."
1649613,Budget Act of 2023.,"An act making appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill."
1649616,Budget Acts of 2022 and 2023.,"An act to amend the Budget Act of 2022 (Chapters, 43, 45, 249 of the Statutes of 2022) by amending Sections 19.56 and 39.10 of that act, and to amend the Budget Act of 2023 (Chapters 12 and 38 of the Statutes of 2023) by amending Items 0250-101-0001, 0250-101-0932, 0509-102-0001, 0530-001-0001, 0540-492, 0650-001-0001, 0650-001-3228, 0650-101-0001, 0690-001-0001, 0690-101-0001, 0690-103-0001, 0820-001-0001, 0845-001-0217, 1700-001-0001, 2240-102-0890, 2240-126-0001, 3100-001-0001, 3125-491, 3360-101-3228, 3480-001-0001, 3540-301-0001, 3600-001-0001, 3600-101-0001, 3790-001-0001, 3790-101-0001, 3790-301-3312, 3790-490, 3790-492, 3850-101-0001, 3860-001-0001, 3900-001-3228, 3900-490, 3940-001-0001, 3940-001-0193, 3940-001-0306, 3940-001-3058, 4140-001-3397, 4140-101-0001, 4140-101-3397, 4260-019-0001, 4260-115-0890, 4300-001-0001, 5180-001-0001, 5180-101-0001, 5180-141-0001, 5180-161-0001, 5227-116-0001, 5227-122-0001, 5227-494, 6100-005-0001, 6100-134-0890, 6100-156-0001, 6100-196-0001, 6360-001-0407, 6440-001-0001, 6870-002-0001, 6870-101-0001, 6980-101-0001, 7100-001-0588, 7120-103-0001, 7502-001-0001, 7502-001-0890, 7870-490, 8140-002-0001, 8260-101-0001, 8260-101-0890, 8570-102-0001, 8940-001-0001, 8940-001-0890, and 9210-115-0001 of Section 2.00 of, adding Items 0250-490, 0509-493, 1111-002-0761, 1111-012-0001, 2240-495, 2245-111-0001, 2740-004-0001, 3100-001-0890, 3355-490, 3790-003-0001, 3790-005-0001, 3790-102-0001, 3860-103-0001, 3900-495, 4140-490, 4140-495, 6440-491, and 8140-101-0001 to Section 2.00 of, amending Sections 19.561, 19.562, 19.563, 19.564, 19.565, 19.566, 19.567, 19.568, 19.569, 35.50, and 39.00 of, and adding Section 39.10 to, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill."
1649617,Budget Act of 2023.,An act relating to the Budget Act of 2023.
1649620,Budget Act of 2024.,"An act to amend the Budget Act of 2024 by amending Items 0110-001-0001, 0120-011-0001, 0250-496, 0509-001-0001, 0509-495, 0511-001-0001, 0515-495, 0515-496, 0521-101-3228, 0521-131-0001, 0530-001-0001, 0540-001-0001, 0540-101-0001, 0540-495, 0552-001-0001, 0555-495, 0650-001-0001, 0650-001-0140, 0650-001-0890, 0650-001-3228, 0650-001-9740, 0650-101-0890, 0650-101-3228, 0650-490, 0650-495, 0690-103-0001, 0690-496, 0820-001-0001, 0820-001-0367, 0820-001-0567, 0820-015-0001, 0840-495, 0860-002-0001, 0890-001-0890, 0890-101-0890, 2240-001-0001, 2240-001-3144, 2240-121-0001, 2240-495, 2240-496, 2660-108-0042, 2667-001-0046, 2720-496, 2740-496, 3100-001-0001, 3100-490, 3125-001-0568, 3125-101-0286, 3360-001-0890, 3360-001-3117, 3360-001-3228, 3360-101-0890, 3360-101-3117, 3360-101-3228, 3360-491, 3360-003-0890, 3360-103-0890, 3360-496, 3480-001-3046, 3480-002-3046, 3540-001-0001, 3540-301-0001, 3540-492, 3540-496, 3600-001-0001, 3600-490, 3600-495, 3600-497, 3640-101-3228, 3760-490, 3760-495, 3790-001-6029, 3790-002-6029, 3790-101-0001, 3790-301-6029, 3790-490, 3790-491, 3790-495, 3825-490, 3830-490, 3860-001-0001, 3860-001-6083, 3860-101-3228, 3860-301-3228, 3860-301-6088, 3860-495, 3860-496, 3900-011-0115, 3900-491, 3900-495, 3940-001-0193, 3940-001-0306, 3940-001-3058, 3940-102-3228, 3940-490, 3940-497, 3960-001-0014, 3970-001-0133, 3980-001-0001, 3980-001-0044, 4140-101-0001, 4140-495, 4150-001-0933, 4170-001-0289, 4170-101-0001, 4170-102-0942, 4170-495, 4260-001-0001, 4260-001-0890, 4260-001-3428, 4260-101-0001, 4260-101-0890, 4260-101-3428, 4260-101-3431, 4260-116-3397, 4260-118-3428, 4260-495, 4265-001-0001, 4265-111-0001, 4265-495, 4300-001-0001, 4300-101-0001, 4300-495, 4800-101-3381, 5160-001-0001, 5175-101-0001, 5175-101-0890, 5175-495, 5180-001-0001, 5180-101-0001, 5180-101-0890, 5180-111-0001, 5180-141-0001, 5180-141-0890, 5180-151-0001, 5180-151-0890, 5180-490, 5180-492, 5180-495, 5225-001-0001, 5225-002-0001, 5225-008-0001, 5225-009-0001, 5225-101-0001, 5225-497, 5227-122-0001, 6100-113-0890, 6100-135-0890, 6100-161-0890, 6100-220-0001, 6100-488, 6440-001-0001, 6610-001-0001, 6610-002-0001, 6870-101-0001, 6870-488, 6980-101-0001, 7100-001-0185, 7100-101-0001, 7120-101-0001, 7120-102-0001, 7350-101-3078, 7502-001-0001, 7600-001-3065, 7730-001-0001, 7760-311-3292, 7900-015-0830, 7900-015-0833, 7900-015-0849, 7900-015-0884, 8260-001-0001, 8260-101-0001, 8570-001-6088, 8570-101-0001, 8570-490, 8570-495, and 8855-001-0001 of Section 2.00 of, by adding Items 0509-101-0001, 0555-491, 0559-002-0001, 0650-101-0001, 0680-001-0001, 0680-001-0890, 0680-001-3228, 0680-101-0001, 0680-101-0890, 0680-102-0001, 0690-005-0001, 0690-007-0001, 0690-102-0001, 0690-105-0001, 0840-490, 2240-106-0001, 2240-107-0001, 2240-108-0001, 2660-101-0001, 2660-301-0001, 3125-491, 3360-002-0890, 3360-004-0890, 3360-005-0890, 3360-006-0890, 3360-102-0890, 3360-104-0890, 3360-105-0890, 3540-003-3228, 3540-004-0001, 3540-494, 3560-490, 3640-101-0001, 3640-103-0001, 3640-495, 3760-101-0001, 3760-102-3228, 3790-003-0392, 3790-012-0001, 3860-014-0001, 3860-101-0001, 3900-102-3228, 3940-106-0001, 3960-492, 3970-492, 4140-490, 4260-112-1019, 4265-001-3385, 4265-012-3080, 4265-111-3385, 5225-491, 5225-492, 6100-222-0001, 6120-217-0001, 6360-490, 8885-492, and 9889-011-0001 to Section 2.00 of, by repealing Items 0509-401, 0515-497, 0540-101-3228, 0650-102-0001, 3540-001-3228, 3640-498, 3760-101-3228, 3980-008-0044,4170-011-0289, 4300-490, 5225-011-0678, 6100-495, 7100-495, 7350-401, and 8570-102-3228 of Section 2.00 of, by amending Sections 4.05, 12.00, 13.40, 35.50, 39.00, 99.00, and 99.50 of, and by adding Section 15.80 to, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill."
1649621,Budget Act of 2023.,"An act to amend the Budget Act of 2023 (Chapters 12, 38, and 189 of the Statutes of 2023) by amending Items 0521-101-3228, 0521-131-0001, 0820-001-0017, 0820-001-0044, 0890-001-0001, 2240-123-0001, 3360-001-3228, 3360-002-0890, 3360-007-0001, 3360-101-3228, 3360-102-0890, 3960-001-0001, 4140-490, 4260-101-0001, 4700-101-0890, 5180-151-0890, 5227-494, 6100-001-0890, 6100-196-0001, 7350-001-3078, 7600-001-3065, 8570-496, 8660-062-0001, and 9300-101-0001 of Section 2.00 of, adding Items 3360-002-3228, 3360-003-3228, 3360-102-3228, 3360-103-3228, 3940-492, and 4140-496 to Section 2.00 of, and amending Sections 19.564, 19.567, 19.569, and 39.10 of, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill."
1649626,Education finance: education omnibus budget trailer bill.,"An act to amend Sections 1240, 2574, 2575.2, 2576, 8202.6, 8281.5, 8483.4, 8901, 8902, 14002, 14041.5, 17199.4, 17199.5, 17375, 32526, 33050, 35186, 39800.1, 41024, 41203.1, 41544, 41850.1, 42238.02, 42238.025, 42238.03, 44042.5, 44235.1, 44235.2, 44258.9, 44415.5, 44415.6, 44417.5, 45500, 46120, 46392, 46393, 47605, 47606.5, 47607.4, 47612.7, 47654, 47655, 48000, 48000.1, 48310, 48646, 49421.5, 49501.5, 51225.31, 51225.7, 52052, 52062, 52064, 52064.1, 52064.5, 52065, 52066, 52068, 52070, 52070.5, 52071, 52071.5, 52073.3, 52074, 52201, 52202, 56195.1, 56836.148, 60642.7, 60900, 60900.5, and 69617 of, to add Sections 2575.5, 42238.024, 44235.12, 44343.4, 48000.15, 48648, 48649, 48650, 49414.8, 52072.1, 52072.6, 52073.5, and 69617.5 to, to add Chapter 15.5 (commencing with Section 53008) to Part 28 of Division 4 of Title 2 of, and to repeal and add Sections 52072 and 52072.5 of, the Education Code, to amend Section 1596.792 of the Health and Safety Code, to amend Sections 858 and 889.2 of the Welfare and Institutions Code, to amend Section 55 of Chapter 13 of the Statutes of 2015, to amend Section 144 of Chapter 44 of the Statutes of 2021, and to amend Sections 121, 123, 124, 129, 132, 133, 134, 136, and 137 of Chapter 52 of the Statutes of 2022, relating to education finance, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649627,Arts and Music in Schools—Funding Guarantee and Accountability Act: local control and accountability plan electronic template.,"An act to amend Sections 8820, 8821, and 14041 of the Education Code, relating to education finance, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649629,Higher education trailer bill.,"An act to amend Sections 17201, 32527, 66021.9, 66023.5, 67329.3, 69432, 69996.3, 70022, 70023, 71004, 87102, 87103, 88825, and 88931 of, and to add Article 11 (commencing with Section 87890) to Chapter 3 of Part 51 of Division 7 of Title 3 of, the Education Code, to amend the Budget Act of 2021 by amending Items 6440-001-0001 and 6870-101-0001 of Section 2.00 of that act, to amend the Budget Act of 2022 by amending Items 6870-101-0001 and 6870-121-0001 of Section 2.00 of that act, and to amend Section 55 of Chapter 54 of the Statutes of 2022, relating to postsecondary education, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649634,Public resources trailer bill.,"An act to amend Section 1021.8 of the Code of Civil Procedure, to amend Section 1610 of, and to add Chapter 11.5 (commencing with Section 1927) to Division 2 of, the Fish and Game Code, to amend Sections 4101.4 and 4104 of, and to add and repeal Sections 4104.5, 4105.5, and 4109 of, the Food and Agricultural Code, to repeal Section 12087.3 of the Government Code, to amend Sections 25502, 38562.2, 116773.2, 116773.4, 116773.6, and 116773.8 of the Health and Safety Code, to amend Sections 716, 3258, 5080.18, 42034.2, and 71154 of, and to add Article 4 (commencing with Section 5081) to Chapter 1.2 of Division 5 of, the Public Resources Code, to repeal Section 17131.19 of the Revenue and Taxation Code, to amend Sections 1831, 1846, 6300, 6302, 6304, 6305, 13198, 13198.2, 13260, and 13523 of, to add Sections 1242.1, 1242.2, 1242.3, 6433, and 13198.3 to, to add Part 4 (commencing with Section 6700) to Division 3 of, and to repeal Section 13198.8 of, the Water Code, to amend the Budget Act of 2021 (Chapter 69 of the Statutes of 2021) by amending Item 3940-162-8506 of Section 2.00 of that act, to amend Section 106 of Chapter 73 of the Statutes of 2021, and to repeal Section 95 of Chapter 50 of the Statutes of 2022, relating to public resources, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649635,Energy.,"An act to amend Section 11553.5 of the Government Code, to amend Sections 38561.3, 44268, and 44268.2 of, and to add Section 44268.4 to, the Health and Safety Code, to amend Section 379.10 of the Public Utilities Code, and to amend Sections 80400 and 80710 of the Water Code, relating to energy, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649636,Energy.,"An act to amend Sections 63048.93 and 63048.95 of the Government Code, to amend Sections 25355.5, 25371.3, 25373, and 25792 of the Public Resources Code, to amend Sections 454.53, 712, 712.1, and 712.8 of, and to add Section 913.20 to, the Public Utilities Code, and to amend Sections 80400, 80710, and 80720 of, and to add Sections 12935.5 and 80700.5 to, the Water Code, relating to energy, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649637,Transportation budget trailer bill.,"An act to add Sections 13987 and 14509.5 to, and to add and repeal Section 13979.3 of, the Government Code, to amend Section 75224 of, to add Section 75226 to, and to add Part 6 (commencing with Section 75260) to Division 44 of, the Public Resources Code, to amend Sections 99268.9, 99312.1, 99314.6, and 99314.10 of the Public Utilities Code, to add Section 114.5 to the Streets and Highways Code, and to amend Section 13020 of the Vehicle Code, relating to transportation, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649643,Taxation.,"An act to amend Sections 12419.3.3 and 13305 of the Government Code, to amend Sections 17053.73, 19551.3, 19851, 19852, 19853, 19854, and 23626 of, to add Section 17082 to, and to add and repeal Sections 17139.2, 17139.3, 24309.6, and 24309.7 of, the Revenue and Taxation Code, and to amend Section 8161 of the Welfare and Institutions Code, relating to taxation, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649644,Income taxes: tax credits: motion pictures: occupational safety: California Film Commission.,"An act to amend Section 14998.2 of the Government Code, to add Part 13 (commencing with Section 9150) to Division 5 of, and to repeal Sections 9152 and 9152.5 of, the Labor Code, and to amend Sections 6902.5, 17039, 17053.98, 23036, and 23698 of, and to add Sections 17053.98.1 and 23698.1 to, the Revenue and Taxation Code, relating to the motion picture and television industry, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649645,Courts.,"An act to amend Section 6219 of the Business and Professions Code, to amend Section 367.75 of, to add Sections 367.8 and 367.10 to, and to add and repeal Section 367.76 of, the Code of Civil Procedure, to amend Sections 68933, 69894, 70602.6, and 70662 of, to amend and repeal Sections 70616, 70617, 70657, and 70677 of, and to add Chapter 2.2 (commencing with Section 68655) to Title 8 of, the Government Code, to add Section 1473.1 to the Penal Code, and to add and repeal Section 679.5 of the Welfare and Institutions Code, relating to courts, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649647,Public safety.,"An act to amend Section 801.1 of the Evidence Code, to amend Section 71651.1 of the Government Code, to amend Sections 977, 977.3, 1043.5, 6258, 11105.2, 11105.3, and 30370 of the Penal Code, and to amend Section 607 of the Welfare and Institutions Code, relating to public safety, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649648,Medi-Cal: managed care organization provider tax.,"An act to amend Section 14199.85 of the Welfare and Institutions Code, relating to Medi-Cal, and declaring the urgency thereof, to take effect immediately."
1649649,Health omnibus trailer bill.,"An act to amend Sections 1751.70, 1753.1, 1797.101, 11833.02, 11833.04, and 105254 of, and to add Section 127697 to, the Health and Safety Code, to amend Sections 4081 and 5328 of the Welfare and Institutions Code, and to amend Section 1 of Chapter 589 of the Statutes of 2022, relating to public health, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649650,Human services.,"An act to amend Sections 8609 and 8610 of the Family Code, to amend Section 14670.35 of the Government Code, and to amend Sections 4418.7, 4642, 6500, 6509, and 7505 of, and to add Sections 4418.8, 4435, 4435.1, 4435.2, and 19629.5 to, the Welfare and Institutions Code, relating to human services, and making an appropriation therefor, to take effect immediately, bill related to the budget."
1649651,Student financial aid: application deadlines: extension.,"An act to amend Section 22 of Chapter 50 of the Statutes of 2023, relating to student financial aid, and declaring the urgency thereof, to take effect immediately."
